,TOTAL,CASH,AUM
2024/07/10,125839.64,9323.910000000009,116515.72562546749
2024/07/11,125361.18,9323.910000000009,116037.27074373048
2024/07/12,125729.08,9379.67000000001,116349.40964049287
2024/07/15,125754.97,9379.67000000001,116375.29792326875
2024/07/16,126655.41,9379.67000000001,117275.73804796021
2024/07/17,124412.25,9379.67000000001,115032.57746064942
2024/07/18,123309.76,9379.67000000001,113930.08809616324
2024/07/19,122760.52,3767.0600000000095,118993.45977921505
2024/07/22,123658.82,3767.0600000000095,119891.76154847164
2024/07/23,123989.72,3767.0600000000095,120222.66087111924
2024/07/24,121117.1,3767.0600000000095,117350.03626008052
2024/07/25,120513.47,3767.0600000000095,116746.41110367794
2024/07/26,122435.7,3767.0600000000095,118668.63723130245
2024/07/29,122388.1,3767.0600000000095,118621.03568419907
2024/07/30,122217.26,3767.0600000000095,118450.19920882676
2024/07/31,122858.84,3767.0600000000095,119091.77516326401
2024/08/01,121772.25,3767.0600000000095,118005.19383010361
2024/08/02,119961.12,3767.0600000000095,116194.05894919625
